CellID,CellStage,CellLabel,CellProtocol
x1_S3c_b1.bcAPMF,3.0,repl,x1
x1_S3c_b1.bcGUPB,3.0,repl,x1
x1_S3c_b1.bcALUC,3.0,repl,x1
x1_S3c_b1.bcDFNU,3.0,pdx1,x1
x1_S3c_b1.bcFQIY,3.0,pdx1,x1
x1_S3c_b1.bcEUQT,3.0,pdx1,x1
x1_S3c_b1.bcGBYT,3.0,pdx1,x1
x1_S3c_b1.bcDEGF,3.0,pdx1,x1
x1_S3c_b1.bcAXZT,3.0,pdx1,x1
x1_S3c_b1.bcFQKO,3.0,pdx1,x1
x1_S3c_b1.bcGYOR,3.0,pdx1,x1
x1_S3c_b1.bcEOXQ,3.0,repl,x1
x1_S3c_b1.bcGSAV,3.0,pdx1,x1
x1_S3c_b1.bcABWP,3.0,repl,x1
x1_S3c_b1.bcASMY,3.0,repl,x1
x1_S3c_b1.bcGABD,3.0,repl,x1
x1_S3c_b1.bcEPOV,3.0,pdx1,x1
x1_S3c_b1.bcBQTE,3.0,repl,x1
x1_S3c_b1.bcHULC,3.0,pdx1,x1
x1_S3c_b1.bcAMIT,3.0,repl,x1
x1_S3c_b1.bcDXTM,3.0,pdx1,x1
x1_S3c_b1.bcBHGR,3.0,pdx1,x1
x1_S3c_b1.bcAGJX,3.0,pdx1,x1
x1_S3c_b1.bcFCSQ,3.0,pdx1,x1
x1_S3c_b1.bcFGNO,3.0,pdx1,x1
x1_S3c_b1.bcGCCX,3.0,repl,x1
x1_S3c_b1.bcCKQS,3.0,pdx1,x1
x1_S3c_b1.bcEWEQ,3.0,pdx1,x1
x1_S3c_b1.bcEQAQ,3.0,pdx1,x1
x1_S3c_b1.bcHWZH,3.0,repl,x1
x1_S3c_b1.bcGFUB,3.0,repl,x1
x1_S3c_b1.bcHCRM,3.0,repl,x1
x1_S3c_b1.bcGYKF,3.0,pdx1,x1
x1_S3c_b1.bcFZSK,3.0,repl,x1
x1_S3c_b1.bcCJGJ,3.0,pdx1,x1
x1_S3c_b1.bcHWOV,3.0,pdx1,x1
x1_S3c_b1.bcEYPC,3.0,pdx1,x1
x1_S3c_b1.bcHHCO,3.0,pdx1,x1
x1_S3c_b1.bcEESM,3.0,pdx1,x1
x1_S3c_b1.bcHTPK,3.0,repl,x1
x1_S3c_b1.bcCABH,3.0,pdx1,x1
x1_S3c_b1.bcDFTK,3.0,pdx1,x1
x1_S3c_b1.bcGQSO,3.0,pdx1,x1
x1_S3c_b1.bcETBN,3.0,pdx1,x1
x1_S3c_b1.bcEFVP,3.0,pdx1,x1
x1_S3c_b1.bcCEGC,3.0,repl,x1
x1_S3c_b1.bcCEXY,3.0,pdx1,x1
x1_S3c_b1.bcBHAQ,3.0,pdx1,x1
x1_S3c_b1.bcGLNG,3.0,pdx1,x1
x1_S3c_b1.bcGYHA,3.0,repl,x1
x1_S3c_b1.bcAHFF,3.0,pdx1,x1
x1_S3c_b1.bcAUAE,3.0,repl,x1
x1_S3c_b1.bcGXHY,3.0,pdx1,x1
x1_S3c_b1.bcGHVH,3.0,pdx1,x1
x1_S3c_b1.bcDKVE,3.0,pdx1,x1
x1_S3c_b1.bcAZWB,3.0,pdx1,x1
x1_S3c_b1.bcCKQP,3.0,pdx1,x1
x1_S3c_b1.bcGSRP,3.0,pdx1,x1
x1_S3c_b1.bcBENP,3.0,pdx1,x1
x1_S3c_b1.bcAQVQ,3.0,pdx1,x1
x1_S3c_b1.bcGBUA,3.0,pdx1,x1
x1_S3c_b1.bcEGCK,3.0,repl,x1
x1_S3c_b1.bcDZCV,3.0,pdx1,x1
x1_S3c_b1.bcHPGL,3.0,pdx1,x1
x1_S3c_b1.bcCGST,3.0,pdx1,x1
x1_S3c_b1.bcIIHA,3.0,repl,x1
x1_S3c_b1.bcEWDZ,3.0,pdx1,x1
x1_S3c_b1.bcHYLL,3.0,pdx1,x1
x1_S3c_b1.bcIDMJ,3.0,repl,x1
x1_S3c_b1.bcDTWN,3.0,pdx1,x1
x1_S3c_b1.bcDHVV,3.0,pdx1,x1
x1_S3c_b1.bcDZCO,3.0,pdx1,x1
x1_S3c_b1.bcCNCI,3.0,repl,x1
x1_S3c_b1.bcESUT,3.0,repl,x1
x1_S3c_b1.bcBMJD,3.0,pdx1,x1
x1_S3c_b1.bcAUNY,3.0,pdx1,x1
x1_S3c_b1.bcIJHZ,3.0,pdx1,x1
x1_S3c_b1.bcENOS,3.0,pdx1,x1
x1_S3c_b1.bcAPKK,3.0,pdx1,x1
x1_S3c_b1.bcCITQ,3.0,repl,x1
x1_S3c_b1.bcFUQB,3.0,pdx1,x1
x1_S3c_b1.bcBXJF,3.0,repl,x1
x1_S3c_b1.bcDXBH,3.0,pdx1,x1
x1_S3c_b1.bcDUAP,3.0,repl,x1
x1_S3c_b1.bcAZOQ,3.0,pdx1,x1
x1_S3c_b1.bcFFZJ,3.0,repl,x1
x1_S3c_b1.bcFRZY,3.0,repl,x1
x1_S3c_b1.bcCJOD,3.0,repl,x1
x1_S3c_b1.bcAQDV,3.0,pdx1,x1
x1_S3c_b1.bcDQCK,3.0,pdx1,x1
x1_S3c_b1.bcFCMJ,3.0,pdx1,x1
x1_S3c_b1.bcHUGX,3.0,repl,x1
x1_S3c_b1.bcHUFN,3.0,pdx1,x1
x1_S3c_b1.bcBURG,3.0,pdx1,x1
x1_S3c_b1.bcABDE,3.0,repl,x1
x1_S3c_b1.bcFNXG,3.0,repl,x1
x1_S3c_b1.bcGYFJ,3.0,pdx1,x1
x1_S3c_b1.bcDZGU,3.0,pdx1,x1
x1_S3c_b1.bcAAZE,3.0,pdx1,x1
x1_S3c_b1.bcBVCU,3.0,pdx1,x1
x1_S3c_b1.bcBOTM,3.0,pdx1,x1
x1_S3c_b1.bcIIWO,3.0,repl,x1
x1_S3c_b1.bcHKMM,3.0,repl,x1
x1_S3c_b1.bcCSDE,3.0,pdx1,x1
x1_S3c_b1.bcEEDU,3.0,repl,x1
x1_S3c_b1.bcFSWU,3.0,repl,x1
x1_S3c_b1.bcHOVS,3.0,pdx1,x1
x1_S3c_b1.bcBZBZ,3.0,pdx1,x1
x1_S3c_b1.bcHNWO,3.0,pdx1,x1
x1_S3c_b1.bcGMMV,3.0,pdx1,x1
x1_S3c_b1.bcADTE,3.0,pdx1,x1
x1_S3c_b1.bcAUZX,3.0,pdx1,x1
x1_S3c_b1.bcDJXJ,3.0,pdx1,x1
x1_S3c_b1.bcBBTU,3.0,repl,x1
x1_S3c_b1.bcDPZC,3.0,pdx1,x1
x1_S3c_b1.bcBNPL,3.0,repl,x1
x1_S3c_b1.bcIINO,3.0,pdx1,x1
x1_S3c_b1.bcAWLQ,3.0,repl,x1
x1_S3c_b1.bcBLJA,3.0,pdx1,x1
x1_S3c_b1.bcDZGG,3.0,pdx1,x1
x1_S3c_b1.bcFPTU,3.0,repl,x1
x1_S3c_b1.bcCCKS,3.0,pdx1,x1
x1_S3c_b1.bcFVAS,3.0,pdx1,x1
x1_S3c_b1.bcCGWG,3.0,pdx1,x1
x1_S3c_b1.bcCMRO,3.0,pdx1,x1
x1_S3c_b1.bcDULT,3.0,repl,x1
x1_S3c_b1.bcHFIK,3.0,pdx1,x1
x1_S3c_b1.bcGXFO,3.0,pdx1,x1
x1_S3c_b1.bcBXWU,3.0,pdx1,x1
x1_S3c_b1.bcAMKK,3.0,pdx1,x1
x1_S3c_b1.bcBXSL,3.0,pdx1,x1
x1_S3c_b1.bcHWIG,3.0,repl,x1
x1_S3c_b1.bcGDLY,3.0,repl,x1
x1_S3c_b1.bcIAEB,3.0,pdx1,x1
x1_S3c_b1.bcAFRX,3.0,repl,x1
x1_S3c_b1.bcCVGK,3.0,repl,x1
x1_S3c_b1.bcEREU,3.0,pdx1,x1
x1_S3c_b1.bcERKH,3.0,pdx1,x1
x1_S3c_b1.bcGDWD,3.0,pdx1,x1
x1_S3c_b1.bcCUPK,3.0,pdx1,x1
x1_S3c_b1.bcBYFI,3.0,repl,x1
x1_S3c_b1.bcADWA,3.0,repl,x1
x1_S3c_b1.bcEHHG,3.0,pdx1,x1
x1_S3c_b1.bcIIIO,3.0,pdx1,x1
x1_S3c_b1.bcEOLI,3.0,pdx1,x1
x1_S3c_b1.bcAWRI,3.0,pdx1,x1
x1_S3c_b1.bcHTYU,3.0,pdx1,x1
x1_S3c_b1.bcBJEF,3.0,pdx1,x1
x1_S3c_b1.bcDVIN,3.0,pdx1,x1
x1_S3c_b1.bcIEXO,3.0,pdx1,x1
x1_S3c_b1.bcBCTL,3.0,pdx1,x1
x1_S3c_b1.bcICUW,3.0,pdx1,x1
x1_S3c_b1.bcFDKS,3.0,pdx1,x1
x1_S3c_b1.bcCPOH,3.0,pdx1,x1
x1_S3c_b1.bcIILD,3.0,repl,x1
x1_S3c_b1.bcFYIK,3.0,pdx1,x1
x1_S3c_b1.bcFAOR,3.0,pdx1,x1
x1_S3c_b1.bcBPHP,3.0,pdx1,x1
x1_S3c_b1.bcAWIH,3.0,pdx1,x1
x1_S3c_b1.bcFGEK,3.0,pdx1,x1
x1_S3c_b1.bcDSJK,3.0,repl,x1
x1_S3c_b1.bcBACS,3.0,repl,x1
x1_S3c_b1.bcBVLY,3.0,repl,x1
x1_S3c_b1.bcGEDQ,3.0,pdx1,x1
x1_S3c_b1.bcCIBS,3.0,pdx1,x1
x1_S3c_b1.bcDPNY,3.0,pdx1,x1
x1_S3c_b1.bcEBRT,3.0,pdx1,x1
x1_S3c_b1.bcCFVM,3.0,pdx1,x1
x1_S3c_b1.bcHRJJ,3.0,pdx1,x1
x1_S3c_b1.bcALMC,3.0,pdx1,x1
x1_S3c_b1.bcGJGW,3.0,repl,x1
x1_S3c_b1.bcDZBD,3.0,pdx1,x1
x1_S3c_b1.bcDSRT,3.0,pdx1,x1
x1_S3c_b1.bcFVVZ,3.0,pdx1,x1
x1_S3c_b1.bcFJJK,3.0,pdx1,x1
x1_S3c_b1.bcHWHR,3.0,pdx1,x1
x1_S3c_b1.bcEGRG,3.0,pdx1,x1
x1_S3c_b1.bcDKRK,3.0,pdx1,x1
x1_S3c_b1.bcBFFH,3.0,pdx1,x1
x1_S3c_b1.bcAPRH,3.0,pdx1,x1
x1_S3c_b1.bcBZIT,3.0,pdx1,x1
x1_S3c_b1.bcHVWH,3.0,pdx1,x1
x1_S3c_b1.bcFMPU,3.0,pdx1,x1
x1_S3c_b1.bcDUIK,3.0,repl,x1
x1_S3c_b1.bcCZRW,3.0,pdx1,x1
x1_S3c_b1.bcDFWD,3.0,pdx1,x1
x1_S3c_b1.bcGNVR,3.0,pdx1,x1
x1_S3c_b1.bcAZGW,3.0,pdx1,x1
x1_S3c_b1.bcBBJC,3.0,pdx1,x1
x1_S3c_b1.bcEYWA,3.0,pdx1,x1
x1_S3c_b1.bcDHBP,3.0,pdx1,x1
x1_S3c_b1.bcEYHF,3.0,pdx1,x1
x1_S3c_b1.bcAKZD,3.0,pdx1,x1
x1_S3c_b1.bcHGID,3.0,repl,x1
x1_S3c_b1.bcFAPM,3.0,pdx1,x1
x1_S3c_b1.bcERGO,3.0,pdx1,x1
x1_S3c_b1.bcFJME,3.0,pdx1,x1
x1_S3c_b1.bcFICB,3.0,pdx1,x1
x1_S3c_b1.bcEWDN,3.0,pdx1,x1
x1_S3c_b1.bcAMVE,3.0,pdx1,x1
x1_S3c_b1.bcGOSS,3.0,repl,x1
x1_S3c_b1.bcFCMH,3.0,pdx1,x1
x1_S3c_b1.bcBCWY,3.0,pdx1,x1
x1_S3c_b1.bcDZRD,3.0,repl,x1
x1_S3c_b1.bcHHKR,3.0,pdx1,x1
x1_S3c_b1.bcHXOX,3.0,pdx1,x1
x1_S3c_b1.bcHQVY,3.0,repl,x1
x1_S3c_b1.bcECYW,3.0,pdx1,x1
x1_S3c_b1.bcETPM,3.0,repl,x1
x1_S3c_b1.bcDRYZ,3.0,pdx1,x1
x1_S3c_b1.bcBINJ,3.0,pdx1,x1
x1_S3c_b1.bcDCZS,3.0,pdx1,x1
x1_S3c_b1.bcDIYS,3.0,pdx1,x1
x1_S3c_b1.bcCIMS,3.0,pdx1,x1
x1_S3c_b1.bcHUCI,3.0,repl,x1
x1_S3c_b1.bcBXKE,3.0,pdx1,x1
x1_S3c_b1.bcHCTJ,3.0,repl,x1
x1_S3c_b1.bcCUKS,3.0,pdx1,x1
x1_S3c_b1.bcEQCA,3.0,pdx1,x1
x1_S3c_b1.bcGFFH,3.0,pdx1,x1
x1_S3c_b1.bcHMTK,3.0,pdx1,x1
x1_S3c_b1.bcCWYC,3.0,repl,x1
x1_S3c_b1.bcGLFO,3.0,pdx1,x1
x1_S3c_b1.bcHLZJ,3.0,repl,x1
x1_S3c_b1.bcHIGY,3.0,repl,x1
x1_S3c_b1.bcIJPC,3.0,repl,x1
x1_S3c_b1.bcCKSG,3.0,pdx1,x1
x1_S3c_b1.bcICVT,3.0,pdx1,x1
x1_S3c_b1.bcFTYZ,3.0,pdx1,x1
x1_S3c_b1.bcGSTO,3.0,pdx1,x1
x1_S3c_b1.bcGGNQ,3.0,repl,x1
x1_S3c_b1.bcCEYL,3.0,pdx1,x1
x1_S3c_b1.bcHYJW,3.0,pdx1,x1
x1_S3c_b1.bcHOBG,3.0,pdx1,x1
x1_S3c_b1.bcFOBN,3.0,pdx1,x1
x1_S3c_b1.bcHYFT,3.0,pdx1,x1
x1_S3c_b1.bcCNSU,3.0,repl,x1
x1_S3c_b1.bcCIEM,3.0,repl,x1
x1_S3c_b1.bcACPC,3.0,repl,x1
x1_S3c_b1.bcDOLX,3.0,repl,x1
x1_S3c_b1.bcDUYN,3.0,pdx1,x1
x1_S3c_b1.bcAAWM,3.0,repl,x1
x1_S3c_b1.bcCPSJ,3.0,repl,x1
x1_S3c_b1.bcGXAL,3.0,pdx1,x1
x1_S3c_b1.bcHHCV,3.0,pdx1,x1
x1_S3c_b1.bcBEOJ,3.0,pdx1,x1
x1_S3c_b1.bcCPNB,3.0,pdx1,x1
x1_S3c_b1.bcFGQS,3.0,repl,x1
x1_S3c_b1.bcHUWC,3.0,repl,x1
x1_S3c_b1.bcGPBZ,3.0,pdx1,x1
x1_S3c_b1.bcCCYO,3.0,pdx1,x1
x1_S3c_b1.bcCAPG,3.0,pdx1,x1
x1_S3c_b1.bcCMAR,3.0,repl,x1
x1_S3c_b1.bcDTAA,3.0,pdx1,x1
x1_S3c_b1.bcHLCW,3.0,repl,x1
x1_S3c_b1.bcCCFH,3.0,pdx1,x1
x1_S3c_b1.bcGHTC,3.0,pdx1,x1
x1_S3c_b1.bcBKMX,3.0,repl,x1
x1_S3c_b1.bcDJSN,3.0,repl,x1
x1_S3c_b1.bcGDXG,3.0,repl,x1
x1_S3c_b1.bcCCZS,3.0,pdx1,x1
x1_S3c_b1.bcDONO,3.0,pdx1,x1
x1_S3c_b1.bcAMYX,3.0,pdx1,x1
x1_S3c_b1.bcEBIB,3.0,pdx1,x1
